[2026-04-12 22:13:55] Log file: ./results/train_cifar10_mobilenet_none_20260412_221355.log
[2026-04-12 22:13:55] Device  : cuda
[2026-04-12 22:13:55] Args    : {'dataset': 'cifar10', 'model': 'mobilenet', 'n_clients': 5, 'rounds': 100, 'local_epochs': 1, 'local_bs': 64, 'lr': 0.001, 'defense': 'none', 'alpha': 0.7, 'sigma': 0.001, 'ckpt_dir': './checkpoints', 'output_dir': './results', 'seed': 42}
[2026-04-12 22:13:55] Loading dataset: cifar10  n_clients=5
[2026-04-12 22:50:28] Round  57/100  train_acc=7.60%  val_acc=10.00%  (37.6s)
[2026-04-12 22:51:06] Round  58/100  train_acc=7.60%  val_acc=10.00%  (38.5s)
[2026-04-12 22:51:47] Round  59/100  train_acc=7.60%  val_acc=10.00%  (40.9s)
[2026-04-12 22:52:25] Round  60/100  train_acc=11.00%  val_acc=10.00%  (37.7s)
[2026-04-12 22:53:02] Round  61/100  train_acc=11.40%  val_acc=10.00%  (37.2s)
[2026-04-12 22:53:40] Round  62/100  train_acc=7.60%  val_acc=10.00%  (37.9s)
[2026-04-12 22:54:18] Round  63/100  train_acc=7.60%  val_acc=10.00%  (37.8s)
[2026-04-12 22:55:01] Round  64/100  train_acc=7.60%  val_acc=10.00%  (43.1s)
[2026-04-12 22:55:44] Round  65/100  train_acc=11.40%  val_acc=10.00%  (42.9s)
[2026-04-12 22:56:27] Round  66/100  train_acc=7.60%  val_acc=10.00%  (42.8s)
[2026-04-12 22:57:06] Round  67/100  train_acc=7.60%  val_acc=10.00%  (39.9s)
[2026-04-12 22:57:46] Round  68/100  train_acc=7.60%  val_acc=10.00%  (39.4s)
[2026-04-12 22:58:28] Round  69/100  train_acc=13.20%  val_acc=10.00%  (41.8s)
[2026-04-12 22:59:11] Round  70/100  train_acc=9.80%  val_acc=10.00%  (43.9s)
[2026-04-12 22:59:53] Round  71/100  train_acc=9.80%  val_acc=10.00%  (41.4s)
[2026-04-12 23:00:33] Round  72/100  train_acc=9.80%  val_acc=10.00%  (39.8s)
[2026-04-12 23:01:11] Round  73/100  train_acc=7.60%  val_acc=10.00%  (37.9s)
[2026-04-12 23:01:48] Round  74/100  train_acc=7.60%  val_acc=10.00%  (37.6s)
[2026-04-12 23:02:27] Round  75/100  train_acc=7.60%  val_acc=10.00%  (38.6s)
[2026-04-12 23:03:06] Round  76/100  train_acc=7.60%  val_acc=10.00%  (39.2s)
[2026-04-12 23:03:45] Round  77/100  train_acc=7.60%  val_acc=10.00%  (38.6s)
[2026-04-12 23:04:26] Round  78/100  train_acc=9.80%  val_acc=10.00%  (41.5s)
[2026-04-12 23:05:08] Round  79/100  train_acc=7.60%  val_acc=10.00%  (42.1s)
