attack,defense,param,dataset,model,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
idlg,none,None,tinyimagenet,resnet18,9.730665884491739,1.3078169377791466,0.04962173383682966,0.02906660456210375,0.6683837473392487,0.02935531735420227
idlg,dp,0.001,tinyimagenet,resnet18,8.981797963247178,0.686729980375751,0.04811470862478018,0.021050692535936832,0.7400420010089874,0.03008076548576355
idlg,dp,0.01,tinyimagenet,resnet18,8.660376412638952,0.8386196444068794,0.0249705845490098,0.004336998797953129,0.7199338972568512,0.018421560525894165
idlg,lcn,1.1,tinyimagenet,resnet18,8.22573928999926,0.9495386382811355,0.033258297480642796,0.01473631989210844,0.657268762588501,0.0036986470222473145
idlg,lcn,0.9,tinyimagenet,resnet18,8.826017868122223,0.43831838994725736,0.03921837918460369,0.00767195038497448,0.716583788394928,0.02067422866821289
idlg,lcn,0.7,tinyimagenet,resnet18,9.112482133235304,0.7324115290488482,0.047341328114271164,0.00989813357591629,0.7451851665973663,0.015767782926559448
idlg,lcn,0.5,tinyimagenet,resnet18,8.99638434792849,0.7732645024130198,0.04979141987860203,0.015508649870753288,0.7324242889881134,0.038522571325302124
